P_in (atm),T_in (°C),N2_out (%),O2_out (%),Ar_out (%)
5.4380133751421935,-195.5756133034551,99.8516857427302,99.44988144359272,97.2802969999124
7.446469696444094,-191.89549488594844,99.83994339334481,99.53098955814292,96.6047464610335
6.588920826280653,-185.85262690702476,99.85679110452935,99.4994873598732,95.28276398853353
6.08340233906767,-180.19963509365564,99.99837118886666,99.5094327098597,95.65382453737074
6.132864983816059,-193.16440998807877,99.93783908640698,99.58173939998534,96.95310839630902
5.279830509148885,-195.29299965510253,99.82320451387481,99.55158165722972,95.27447818764571
5.398436832205099,-180.0096051609144,99.84248575876917,99.49281863498626,96.11100274084768
7.9946288037134625,-196.1399279175282,99.77619674547603,99.52816066622869,95.70170117468169
5.023668493960808,-197.4709295165081,99.91488537963389,99.46248304134025,95.5455506962993
7.543291830533656,-183.21181530874364,99.78346092948584,99.56869225162956,96.91771515264583
5.081812224347231,-199.7006137743458,99.85388990286106,99.47174755930354,97.293845565857
7.221514776903771,-180.6085035884637,99.89903252360929,99.48804594751894,96.59476472806999
5.043124823262369,-180.53798869508887,99.95465961030682,99.46425701175879,95.77427996934938
7.9026689102862235,-197.28581928037593,99.87987464195767,99.56271384421703,95.54896377297335
5.701927790031374,-187.41522949856773,99.885237225146,99.48107237955169,97.12280321028597
5.299767596393897,-192.0644599304603,99.974435355032,99.42140453668075,95.3459342757483
6.532561470875281,-184.0415635151713,99.9436854301603,99.48955478071585,97.03812710472101
6.258384586508262,-190.11522282431218,99.83269504983072,99.48609216444912,95.9147074556161
5.093488335565951,-197.4371441391254,99.94253326475351,99.5340671424875,97.98945231450587
7.892514839108831,-191.85171817410838,99.83495831198056,99.4934651389503,98.43720263190133
5.035589720848672,-188.9326110802717,99.93406910245662,99.51647545769987,97.51888910980082
7.548073189448316,-197.44861873121818,99.91039293940432,99.54461621781589,98.4599091835995
7.354889802065566,-193.27664789016418,99.84061564213471,99.517531982391,95.80045027633162
6.51751603407686,-192.4797221628133,99.89771232289549,99.47252492276286,97.24554901382933
6.170341757410598,-185.9947617830898,99.8984028945686,99.48667980612431,96.75424154541211
7.761552608011,-195.16650199070565,99.86264437224585,99.44891892061119,98.78136981389589
7.268943827156914,-197.6975637559142,99.90750248932193,99.57333599587346,96.39439699281303
7.945746819091477,-198.80690102209076,99.86164617194599,99.53427299619472,96.84087433273315
5.663470516825724,-181.02022266562517,99.9721203321174,99.50490731284773,95.91651996756522
6.5171699163386165,-197.9432546189083,99.75880869282491,99.4900749222171,96.25511054576295
5.168043137658493,-194.78602306175307,99.8003727280239,99.48735833287492,96.0387463453701
6.523830896391831,-194.25795182170282,99.8425724292313,99.48081666942888,97.94016209412149
5.736009256954452,-181.26663215871469,99.8545075285617,99.4254386709389,97.74920080031855
7.789112801737643,-195.03422351857856,99.81076806633587,99.5144282562223,98.76677136242095
6.860313511070039,-188.88482724307647,99.91630301745906,99.60033291018178,98.95253089250758
7.002495754051537,-183.1794184294714,99.91793183297432,99.4961259464085,97.89673726394825
6.582923174768753,-182.1784282757803,99.8951045774983,99.4383548934014,95.83593898917938
6.432044925969245,-193.76346218011224,99.86210479754463,99.4373353614952,96.36171572913825
7.9866348424912985,-186.68936522716805,99.9277853762109,99.507326606662,95.72855869354017
5.989217856267079,-185.8040996393463,99.94942242692095,99.55326350733738,98.88447348557409
6.521639782958123,-193.24330370009176,99.80654716528944,99.45878627321045,98.37995221302312
6.685526595133252,-190.6481809371902,99.88577114692328,99.4315292196431,97.77431451672058
5.266307093764733,-199.98039915547542,99.85115279195209,99.5375759971612,98.93443483418072
7.689759421359097,-183.22553823094918,99.84315475007845,99.48208672471083,97.29432221684445
6.884244348484174,-188.21181322099514,99.89426324491384,99.4604189411339,96.38856730025493
6.717531797221128,-196.7997787523806,99.88649202623454,99.5469746343199,96.33211172630152
7.614356041377326,-186.1027401120938,99.9291306790847,99.4612369638259,95.87354163700678
6.22088178452619,-185.33485117592778,99.87188108510448,99.59110585786782,96.93336064731297
6.506411986048928,-195.29287321515844,99.84153313208269,99.51073601805335,95.1422494966507
5.484434862980262,-189.426508836577,99.91159227124973,99.50931991104225,97.1535751097539
7.137674595128287,-185.66080746481413,99.93849449330664,99.49517859269743,98.28618104042023
7.1834086261677434,-188.2923356062868,99.85728686826815,99.50989910278513,96.60077106654933
7.088355427178238,-196.0382151796239,99.89074649183874,99.53552412963566,98.10890017035649
5.082836954046735,-193.3231812273218,99.91981324770624,99.55565499538775,97.57234114517816
7.010770327264532,-198.65420452478264,99.87237963120293,99.53311107022476,96.9453450638153
5.078306615878812,-189.539873321474,99.8303750254966,99.50610903758033,95.14150767799444
6.958637894866307,-193.6534344102671,99.85932516040809,99.46421172683542,96.69111952839008
6.104196352573262,-188.83034023476068,99.80783266625657,99.49303850278608,97.77460876711037
5.465129060152096,-184.1157697992806,99.94070380677033,99.50211792958474,96.70014715244898
5.895251886384074,-189.4112587637735,99.89756792497899,99.50618336708119,95.48259715976457
6.727257807134707,-189.30112956123645,99.82021356677673,99.46466539147738,95.32079650708532
6.661515897253729,-182.9493133278446,99.8972704349088,99.44374181169069,97.56512530879958
5.8135150722434865,-181.08517781134566,99.94388042133016,99.38858630273498,98.42186663168411
5.366163244076546,-197.0869680295126,99.92286998592914,99.52355216625173,97.99718082410679
6.082678942607512,-198.53721868976885,99.87117981239838,99.43959647182949,95.23827954527911
5.445904072462856,-182.6995550509581,99.96590418173957,99.45943909023975,98.47042346603274
5.43405105698484,-188.298705679,99.92832469824386,99.46216373330773,98.83580288835996
6.761904818244007,-190.72358572800306,99.88187966495778,99.49853336543812,98.67894812274935
7.781740342021452,-181.71694133064278,99.93449190827505,99.53934120389438,97.9902047360473
5.462048459798781,-194.6708393313756,99.89722961759662,99.48988585427206,98.59836741801608
7.953798979758897,-185.48276506082382,99.88508883320792,99.51535004853528,97.36767430995205
6.231427006902714,-193.84061656366242,99.90613285600189,99.56270698441973,98.2075969962734
6.078750159303285,-182.83575772554576,99.97354537503729,99.48970990435014,98.58837344934388
5.059250254943028,-180.95654893351494,99.94121326521191,99.5892094939642,96.20533409401303
5.020711444363481,-180.2817175160889,99.89697602685715,99.48980831712129,98.06328772016948
5.451674839763513,-188.27090914668406,99.8202181864854,99.49778133014756,95.06750376694013
6.812641899051785,-180.2785196245827,99.91520785765775,99.44237933354502,95.38482812783336
6.045036363883623,-198.52658389484503,99.92206803569356,99.48610611060627,95.34098932456847
5.540103474918742,-199.8608633962847,99.87229661237357,99.43141641623184,95.985344970383
7.334764933977352,-188.2930545229199,99.98633912561506,99.55643790876904,97.23566987773188
